motif364	Ornament:Fusip1_7mer_logoM019/Attract:SRSF10_M019_0.6/Ray2013:RNCMPT00019_SRSF10/CISBP:SRSF12_Fusip1_BX511012.1_M019_0.6
motif365	Ornament:FUSCONSTRUCT_7mer_logoM018/Ray2013:RNCMPT00018_FUS
motif366	Ornament:FUBP1_7mer_logo2
motif367	Ornament:A1CF_7mer_logo3
motif368	Ornament:Fmr1_7mer_logoM015
motif369	Ornament:FMR1_7mer_logoM016/Attract:FMR1_M016_0.6/Ray2013:RNCMPT00016_FMR1/CISBP:FMR1_M016_0.6
motif370	Ornament:ESRP2_7mer_logoM141/Attract:ESRP2_M141_0.6/Ray2013:RNCMPT00150_ESRP2/CISBP:ESRP2_ESRP1_M141_0.6
motif371	Ornament:ENSXETG00000018075_7mer_logoM236/CISBP:SYNCRIP_M236_0.6
motif372	Ornament:FUBP1_7mer_logo0
motif373	Ornament:ENSGALG00000014267_7mer_logoM234/CISBP:RBM47_M234_0.6
motif374	Ornament:ENSGALG00000000814_7mer_logoM242/CISBP:HNRNPR_M242_0.6
motif375	Ornament:ENOX1_7mer_logoM140/Attract:ENOX1_M140_0.6/Ray2013:RNCMPT00149_ENOX1/CISBP:ENOX1_ENOX2_M140_0.6
motif376	Ornament:ELAVL1_7mer_logoM232/Attract:ELAVL1_M232_0.6/Ray2013:RNCMPT00274_HuR/CISBP:ELAVL1_M232_0.6
motif377	Ornament:ELAVL1_7mer_logoM127/Attract:ELAVL1_M127_0.6/Ray2013:RNCMPT00136_HuR/CISBP:ELAVL1_M127_0.6
motif378	Ornament:ELAVL1_7mer_logoM112/Attract:ELAVL1_M112_0.6/Ray2013:RNCMPT00117_HuR/CISBP:ELAVL1_M112_0.6
motif379	Ornament:ELAVL1_7mer_logoM108/Attract:ELAVL1_M108_0.6/Ray2013:RNCMPT00112_HuR/CISBP:ELAVL1_M108_0.6
motif380	Ornament:ELAVL1_7mer_logoM031/Attract:ELAVL1_M031_0.6/Ray2013:RNCMPT00032_HuR/CISBP:ELAVL1_M031_0.6
motif381	Ornament:FUBP1_7mer_logo1
motif382	Ornament:EIF4B_7mer_logoM291/CISBP:EIF4B_M291_0.6
motif383	Ornament:EIF4B_7mer_logoM290/CISBP:EIF4B_M290_0.6
motif384	Ornament:eIF2alpha_7mer_logoM231/CISBP:EIF2S1_M231_0.6
motif385	Ornament:DAZAP1_7mer_logoM013/Attract:DAZAP1_M013_0.6/Ray2013:RNCMPT00013_DAZAP1/CISBP:DAZAP1_M013_0.6
motif386	Ornament:CPEB4_7mer_logoM149/Attract:CPEB4_M149_0.6/Ray2013:RNCMPT00158_CPEB4/CISBP:CPEB3_CPEB4_M149_0.6
motif387	Ornament:FUBP3_7mer_logo0
